6_12,6_20,6_30,6_75,12_20,12_30,12_75,20_30,20_75,30_75,6_12_car,6_20_car,6_30_car,6_75_car,12_20_car,12_30_car,12_75_car,20_30_car,20_75_car,30_75_car
ch0_6Hz,ch6_6Hz,ch3_6Hz,ch3_6Hz,ch1_12Hz,ch0_12Hz,ch0_12Hz,ch1_20Hz,ch2_20Hz,ch7_225Hz,ch0_6Hz,ch5_6Hz,ch3_6Hz,ch10_6Hz,ch2_12Hz,ch0_12Hz,ch2_12Hz,ch0_20Hz,ch2_20Hz,ch6_90Hz
ch3_6Hz,ch3_6Hz,ch10_6Hz,ch10_6Hz,ch0_12Hz,ch1_12Hz,ch1_12Hz,ch0_20Hz,ch0_150Hz,ch6_90Hz,ch3_6Hz,ch6_6Hz,ch10_6Hz,ch2_12Hz,ch1_12Hz,ch1_12Hz,ch1_12Hz,ch1_20Hz,ch0_20Hz,ch6_150Hz
ch6_6Hz,ch5_6Hz,ch6_6Hz,ch2_12Hz,ch6_12Hz,ch6_12Hz,ch3_12Hz,ch5_20Hz,ch8_150Hz,ch9_225Hz,ch6_6Hz,ch3_6Hz,ch5_6Hz,ch3_6Hz,ch0_12Hz,ch6_12Hz,ch0_12Hz,ch2_20Hz,ch1_20Hz,ch0_150Hz
ch1_6Hz,ch2_12Hz,ch5_6Hz,ch0_6Hz,ch5_12Hz,ch3_12Hz,ch5_12Hz,ch6_20Hz,ch8_36Hz,ch4_225Hz,ch5_6Hz,ch1_12Hz,ch6_6Hz,ch1_12Hz,ch6_12Hz,ch2_12Hz,ch3_12Hz,ch5_20Hz,ch13_20Hz,ch0_90Hz
ch8_6Hz,ch10_6Hz,ch0_6Hz,ch1_12Hz,ch3_12Hz,ch5_12Hz,ch6_12Hz,ch10_225Hz,ch6_150Hz,ch3_225Hz,ch8_6Hz,ch5_12Hz,ch1_12Hz,ch2_6Hz,ch5_12Hz,ch3_12Hz,ch6_12Hz,ch6_20Hz,ch0_150Hz,ch8_36Hz
ch14_6Hz,ch1_12Hz,ch1_12Hz,ch1_6Hz,ch8_12Hz,ch8_12Hz,ch2_12Hz,ch14_225Hz,ch8_90Hz,ch10_225Hz,ch1_6Hz,ch2_12Hz,ch0_12Hz,ch0_6Hz,ch3_12Hz,ch5_12Hz,ch5_12Hz,ch8_18Hz,ch5_20Hz,ch7_12Hz
ch10_6Hz,ch5_12Hz,ch8_12Hz,ch2_6Hz,ch9_12Hz,ch7_12Hz,ch9_12Hz,ch4_225Hz,ch0_90Hz,ch14_225Hz,ch0_12Hz,ch10_6Hz,ch0_6Hz,ch2_18Hz,ch8_12Hz,ch7_12Hz,ch9_12Hz,ch5_18Hz,ch3_20Hz,ch5_18Hz
ch5_6Hz,ch8_6Hz,ch0_12Hz,ch5_6Hz,ch4_12Hz,ch9_12Hz,ch4_12Hz,ch1_225Hz,ch6_60Hz,ch5_225Hz,ch6_60Hz,ch6_12Hz,ch5_12Hz,ch1_6Hz,ch9_12Hz,ch8_12Hz,ch4_12Hz,ch10_150Hz,ch0_90Hz,ch7_225Hz
ch9_6Hz,ch0_6Hz,ch3_12Hz,ch0_12Hz,ch2_12Hz,ch14_12Hz,ch14_12Hz,ch3_20Hz,ch0_20Hz,ch5_18Hz,ch9_30Hz,ch8_6Hz,ch6_12Hz,ch3_12Hz,ch4_12Hz,ch9_12Hz,ch2_18Hz,ch3_18Hz,ch6_150Hz,ch8_90Hz
ch4_30Hz,ch6_12Hz,ch8_6Hz,ch3_12Hz,ch6_20Hz,ch4_12Hz,ch11_12Hz,ch9_225Hz,ch0_60Hz,ch8_36Hz,ch2_12Hz,ch3_12Hz,ch2_12Hz,ch14_6Hz,ch1_20Hz,ch14_12Hz,ch10_12Hz,ch1_225Hz,ch8_90Hz,ch0_75Hz
ch4_6Hz,ch3_12Hz,ch6_12Hz,ch6_6Hz,ch14_12Hz,ch10_12Hz,ch1_6Hz,ch9_20Hz,ch6_90Hz,ch7_12Hz,ch3_12Hz,ch2_6Hz,ch3_12Hz,ch0_12Hz,ch2_20Hz,ch4_12Hz,ch14_12Hz,ch3_20Hz,ch2_30Hz,ch8_75Hz
ch11_6Hz,ch2_6Hz,ch5_12Hz,ch14_6Hz,ch0_20Hz,ch3_6Hz,ch10_12Hz,ch5_225Hz,ch8_60Hz,ch6_150Hz,ch4_6Hz,ch0_6Hz,ch0_18Hz,ch6_6Hz,ch0_20Hz,ch10_12Hz,ch11_12Hz,ch13_24Hz,ch14_20Hz,ch6_75Hz
